base_bid,impressions,cost,clicks,ctr,cpc,CPM
52.5,103586,3215.014,64,0.000617844,50.23459375,31.03714788
52.6,103767,3226.211,64,0.000616766,50.40954688,31.09091522
52.7,103998,3236.783,64,0.000615396,50.57473438,31.12351199
52.8,104264,3252.788,64,0.000613826,50.8248125,31.19761375
52.9,104519,3265.527,64,0.000612329,51.02385938,31.24338159
53,104774,3279.965,64,0.000610839,51.24945313,31.3051425
53.1,104927,3288.113,64,0.000609948,51.37676563,31.33714868
53.2,105171,3303.353,64,0.000608533,51.61489063,31.40935239
53.3,105511,3321.918,64,0.000606572,51.90496875,31.48409171
53.4,105705,3331.896,64,0.000605459,52.060875,31.52070385
53.5,106037,3353.393,64,0.000603563,52.39676563,31.62474419
53.6,106418,3375.215,64,0.000601402,52.73773438,31.7165799
53.7,106678,3390.045,64,0.000599936,52.96945313,31.77829543
53.8,106992,3410.245,65,0.000607522,52.46530769,31.87383169
53.9,107175,3420.324,65,0.000606485,52.62036923,31.91344997
54,107340,3428.654,65,0.000605552,52.74852308,31.94199739
54.1,107562,3441.193,65,0.000604303,52.94143077,31.9926461
54.2,107771,3451.037,65,0.000603131,53.09287692,32.02194468
54.3,107936,3461.58,65,0.000602209,53.25507692,32.07067151
54.4,108352,3488.231,65,0.000599897,53.66509231,32.1935082
54.5,108468,3494.164,65,0.000599255,53.75636923,32.21377734
54.6,108670,3506.653,65,0.000598141,53.94850769,32.26882304
54.7,108881,3517.137,65,0.000596982,54.1098,32.30257804
54.8,109088,3529.248,65,0.000595849,54.29612308,32.35230273
54.9,109467,3552.881,65,0.000593786,54.65970769,32.45618314
55,109807,3577.629,65,0.000591948,55.04044615,32.58106496
55.1,109941,3584.598,65,0.000591226,55.14766154,32.60474254
55.2,110403,3614.308,65,0.000588752,55.60473846,32.7374075
55.3,110615,3627.491,66,0.000596664,54.96198485,32.79384351
55.4,110741,3634.592,66,0.000595985,55.06957576,32.8206536
55.5,110980,3648.842,66,0.000594702,55.28548485,32.87837448
55.6,111355,3671.6,67,0.000601679,54.8,32.9720264
55.7,111524,3680.718,67,0.000600768,54.93608955,33.00381981
55.8,111710,3691.462,67,0.000599767,55.09644776,33.04504521
55.9,111944,3704.4,67,0.000598514,55.28955224,33.09154577
56,112295,3724.073,67,0.000596643,55.5831791,33.16330202
56.1,112487,3736.059,67,0.000595624,55.76207463,33.21325131
56.2,112757,3752.532,67,0.000594198,56.0079403,33.27981411
56.3,112972,3764.611,67,0.000593067,56.18822388,33.32339872
56.4,113221,3777.573,68,0.000600595,55.55254412,33.36459667
56.5,113456,3790.937,68,0.000599351,55.74907353,33.41327916
56.6,113638,3801.509,68,0.000598391,55.90454412,33.45279748
56.7,113931,3817.738,68,0.000596852,56.14320588,33.50921172
56.8,114052,3824.683,68,0.000596219,56.24533824,33.53455441
56.9,114361,3842.433,68,0.000594608,56.50636765,33.59915531
57,114683,3862.639,68,0.000592939,56.80351471,33.68100765
57.1,114883,3873.154,68,0.000591907,56.95814706,33.71390023
57.2,115188,3892.41,69,0.000599021,56.41173913,33.79180123
57.3,115562,3915.755,69,0.000597082,56.75007246,33.88445164
57.4,115841,3933.791,70,0.000604277,56.19701429,33.958538
57.5,116002,3942.181,70,0.000603438,56.31687143,33.98373304
57.6,116154,3950.843,70,0.000602648,56.44061429,34.01383508
57.7,116263,3957.332,70,0.000602083,56.53331429,34.03775922
57.8,116379,3964.063,70,0.000601483,56.62947143,34.0616692
57.9,116503,3971.762,70,0.000600843,56.73945714,34.09149979
58,116675,3982.326,70,0.000599957,56.89037143,34.13178487
58.1,116959,4002.051,70,0.0005985,57.17215714,34.21755487
58.2,117341,4024.185,70,0.000596552,57.48835714,34.2947904
58.3,117452,4030.235,70,0.000595988,57.57478571,34.31388993
58.4,117613,4040.878,71,0.000603675,56.91377465,34.35740947
58.5,117960,4063.876,71,0.000601899,57.23769014,34.45130553
58.6,118153,4074.375,71,0.000600916,57.38556338,34.48388953
58.7,118643,4110.836,71,0.000598434,57.89909859,34.6487867
58.8,118796,4119.215,71,0.000597663,58.01711268,34.67469443
58.9,119025,4131.522,71,0.000596513,58.1904507,34.71137996
59,119329,4152.559,73,0.000611754,56.88436986,34.79924411
59.1,119533,4166.247,73,0.00061071,57.07187671,34.85436658
59.2,119849,4183.478,73,0.0006091,57.30791781,34.90624035
59.3,120130,4201.25,73,0.000607675,57.55136986,34.97252976
59.4,120389,4215.984,74,0.000614674,56.97275676,35.01967788
59.5,120564,4225.746,74,0.000613782,57.10467568,35.04981587
59.6,120852,4242.633,74,0.000612319,57.33287838,35.10602224
59.7,121038,4252.932,74,0.000611378,57.47205405,35.13716354
59.8,121196,4262.452,74,0.000610581,57.6007027,35.1699066
59.9,121376,4273.21,74,0.000609676,57.74608108,35.20638347
60,121535,4283.174,75,0.000617106,57.10898667,35.2423088
60.1,121636,4289.084,75,0.000616594,57.18778667,35.26163307
60.2,121845,4300.883,76,0.000623743,56.59056579,35.29798515
60.3,122239,4325.006,76,0.000621733,56.90797368,35.3815558
60.4,122487,4339.233,76,0.000620474,57.09517105,35.42606971
60.5,122630,4348.158,76,0.00061975,57.21260526,35.45753894
60.6,122781,4358.107,76,0.000618988,57.34351316,35.49496258
60.7,122998,4372.489,76,0.000617896,57.53275,35.54926909
60.8,123203,4384.585,76,0.000616868,57.69190789,35.58829736
60.9,123447,4397.374,76,0.000615649,57.86018421,35.62155419
61,123686,4411.549,76,0.000614459,58.04669737,35.66732694
61.1,123926,4425.127,76,0.000613269,58.22535526,35.70781757
61.2,124300,4449.027,76,0.000611424,58.53982895,35.79265487
61.3,124576,4464.403,77,0.000618097,57.97925974,35.83678237
61.4,124748,4474.723,77,0.000617244,58.11328571,35.87009812
61.5,125058,4493.261,77,0.000615714,58.35403896,35.92941675
61.6,125225,4502.668,77,0.000614893,58.47620779,35.95662208
61.7,125437,4513.774,78,0.000621826,57.86889744,35.98439057
61.8,125573,4522.599,78,0.000621153,57.98203846,36.01569605
61.9,125679,4529.34,78,0.000620629,58.06846154,36.03895639
62,125877,4541.14,78,0.000619653,58.21974359,36.07601071
62.1,126061,4553.698,78,0.000618748,58.38074359,36.12297221
62.2,126261,4566.962,78,0.000617768,58.55079487,36.17080492
62.3,126478,4581.162,78,0.000616708,58.73284615,36.22101868
62.4,126795,4601.646,78,0.000615166,58.99546154,36.29201467
62.5,126987,4614.507,78,0.000614236,59.16034615,36.33842047
62.6,127137,4623.841,78,0.000613511,59.28001282,36.36896419
62.7,127307,4635.065,78,0.000612692,59.42391026,36.40856355
62.8,127522,4649.042,78,0.000611659,59.60310256,36.45678393
62.9,127916,4677.385,78,0.000609775,59.96647436,36.56606679
63,128164,4693.837,78,0.000608595,60.17739744,36.62367748
63.1,128351,4705.928,78,0.000607709,60.33241026,36.66452151
63.2,128517,4716.862,78,0.000606924,60.47258974,36.70224173
63.3,128931,4743.251,78,0.000604975,60.81091026,36.78906547
63.4,129322,4769.904,78,0.000603146,61.15261538,36.88393313
63.5,129503,4781.341,78,0.000602303,61.29924359,36.92069682
63.6,129686,4793.645,78,0.000601453,61.45698718,36.96347331
63.7,129994,4812.871,78,0.000600028,61.70347436,37.02379341
63.8,130339,4834.077,78,0.000598439,61.97534615,37.08849232
63.9,130565,4847.629,78,0.000597404,62.14908974,37.12808946
64,130711,4856.749,78,0.000596736,62.26601282,37.15639082
64.1,131041,4877.66,79,0.000602865,61.74253165,37.22239604
64.2,131172,4886.44,79,0.000602263,61.85367089,37.25215747
64.3,131349,4896.416,79,0.000601451,61.97994937,37.27790847
64.4,131528,4907.317,80,0.000608236,61.3414625,37.31005565
64.5,131690,4917.084,80,0.000607487,61.46355,37.33832485
64.6,131891,4929.449,80,0.000606561,61.6181125,37.37517344
64.7,132058,4940.27,80,0.000605794,61.753375,37.40985022
64.8,132253,4953.062,80,0.000604901,61.913275,37.45141509
64.9,132383,4961.122,80,0.000604307,62.014025,37.47552178
65,132556,4971.517,80,0.000603519,62.1439625,37.50503184
65.1,132743,4983.49,80,0.000602668,62.293625,37.54239395
65.2,133067,5005.195,81,0.000608716,61.79253086,37.61409666
65.3,133375,5025.25,81,0.00060731,62.04012346,37.67760075
65.4,133806,5050.73,81,0.000605354,62.35469136,37.74666308
65.5,134091,5069.692,81,0.000604067,62.58879012,37.80784691
65.6,134294,5084.844,81,0.000603154,62.77585185,37.86352331
65.7,134476,5095.644,81,0.000602338,62.90918519,37.8925905
65.8,134656,5105.913,81,0.000601533,63.03596296,37.91819897
65.9,134822,5115.558,81,0.000600792,63.15503704,37.94305084
66,135090,5133.371,81,0.0005996,63.37495062,37.99963728
66.1,135371,5153.06,81,0.000598356,63.61802469,38.06620325
66.2,135517,5161.704,81,0.000597711,63.72474074,38.08897777
66.3,135698,5173.364,81,0.000596914,63.86869136,38.1240991
66.4,135895,5187.026,81,0.000596048,64.03735802,38.16936605
66.5,136063,5198.488,81,0.000595312,64.1788642,38.20647788
66.6,136199,5205.98,81,0.000594718,64.27135802,38.22333497
66.7,136381,5218.613,81,0.000593924,64.42732099,38.26495626
66.8,136671,5236.815,81,0.000592664,64.65203704,38.31694361
66.9,137042,5262.322,82,0.000598357,64.17465854,38.39933743
67,137252,5277.344,83,0.000604727,63.58245783,38.45003351
67.1,137411,5288.065,84,0.000611305,62.95315476,38.48356391
67.2,137668,5305.187,84,0.000610164,63.1569881,38.53609408
67.3,138013,5330.759,86,0.00062313,61.98556977,38.62504981
67.4,138273,5348.629,87,0.00062919,61.47849425,38.68165875
67.5,138599,5369.361,88,0.000634925,61.01546591,38.74025787
